ID,廠商名稱 (vendor_id),名稱 (name),基本單位量 (quantity),基本單位 (unit),狀態 (status),建立時間 (created_at),最後修改時間 (updated_at)
1,金澤,鯊魚,1,箱,1,,
2,金澤,鯖魚,1,箱,1,,
3,金澤,鯊魚,1,箱,1,,
4,大台中,鯰魚,1,箱,1,,
5,大台中,紅旗魚,1,箱,1,,
6,海冠水產,鮪魚,1,箱,1,,
7,海冠水產,旗魚,1,箱,1,,
8,洽通,鯛魚,1,箱,1,,
9,海寶,風味魚條,1,箱,1,,
10,漁太郎,調理署魚條(鬼頭刀),1,箱,1,,
11,漁太郎,調理鬼頭刀(魚塊),1,箱,1,,
12,福國,鯊魚,1,箱,1,,
13,福國,鯖魚,1,箱,1,,
14,源鴻億,冷凍蝦排,1,箱,1,,
15,源鴻億,魷魚排,1,箱,1,,
16,源鴻億,蝦捲,1,箱,1,,
17,源鴻億,魷魚捲,1,箱,1,,
18,源鴻億,魷魚丸,1,箱,1,,
19,源鴻億,虱目魚丸,1,箱,1,,
20,源鴻億,珍珠丸,1,箱,1,,
21,源鴻億,福州丸,1,箱,1,,
22,越南,巴沙魚,1,箱,1,,
23,佳魚,鯰魚,1,箱,1,,
24,佳魚,紅鮭魚,1,箱,1,,
25,宏淇,巴沙魚,1,箱,1,,
26,越南,巴沙魚,1,箱,1,,
27,海隆,油甘片,1,箱,1,,
28,,挪威鯖魚,1,箱,1,,
29,,魷魚翅條,1,箱,1,,
30,越南,魩仔魚,1,箱,1,,
31,越南,小魚干,1,箱,1,,
32,,白蝦仁,1,箱,1,,
33,,蝦仁(剖背),1,箱,1,,
34,,魷魚刻花,1,箱,1,,
35,,海瓜子肉,1,箱,1,,
36,越南,魷魚嘴肉,1,箱,1,,
37,,鮭魚碎肉(A級),1,箱,1,,
38,,鮮枝排 (花枝排),1,箱,1,,
39,真好加,蝦排,1,箱,1,,
40,真好加,(熟)脆皮鮮枝捲(小),1,箱,1,,
41,禾榮,柳葉魚,1,箱,1,,
42,百鮮屋,柳葉魚,1,箱,1,,
43,強匠,柳葉魚,1,箱,1,,
44,強匠,巴沙魚,1,箱,1,,
45,漁太郎,巴沙魚,1,箱,1,,
